Player,Age,Position,Position_Gen,Fee,Left,Joined,Year,Nationality,FIFA_Rank,Appearances,Goals,Assists,Clean Sheets,Conceded,CSL
Luis Suarez,27,ST,FWD,73.55,Liverpool,FC Barcelona,2014,URA,7,37,31,19,0,0,0
James Rodriguez,23,CAM,MID,67.5,Monaco,Real Madrid,2014,COL,8,38,9,14,0,0,0
Angel Di Maria,26,RW,FWD,67.5,Real Madrid,Man Utd,2014,ARG,5,45,7,23,0,0,0
David Luiz,27,CB,DEF,44.55,Chelsea,Paris SG,2014,BRA,3,34,3,11,0,0,0
Alexis Sanchez,25,LW,FWD,38.25,FC Barcelona,Arsenal,2014,CHI,14,43,19,13,0,0,0
Diego Costa,25,ST,FWD,34.2,Atletico Madrid,Chelsea,2014,SPA,1,44,35,4,0,0,0
Luke Shaw,18,LB,DEF,33.75,Southampton,Man Utd,2014,ENG,10,38,2,4,0,0,0
Ander Herrera,24,CM,MID,32.4,Athletic,Man Utd,2014,SPA,1,33,5,6,0,0,0
Romelu Lukaku,21,ST,FWD,31.82,Chelsea,Everton,2014,BEL,11,33,16,8,0,0,0
Cesc Fabregas,27,CM,MID,29.7,FC Barcelona,Chelsea,2014,SPA,1,45,9,15,0,0,0
Wilfried Bony,26,ST,FWD,29.07,Swansea,Man City,2014,IVO,23,37,21,4,0,0,0
Andre Schurrle,24,LM,MID,28.8,Chelsea,VfL Wolfsburg,2014,GER,2,43,9,3,0,0,0
Juan Cuadrado,26,RM,MID,27.9,Fiorentina,Chelsea,2014,COL,8,35,12,8,0,0,0
Adam Lallana,26,CAM,MID,27.9,Southampton,Liverpool,2014,ENG,10,42,10,8,0,0,0
Eliaquim Mangala,23,CB,DEF,27.45,FC Porto,Man City,2014,FRA,17,42,5,2,0,0,0
Antoine Griezmann,23,ST,FWD,27,Real Sociedad,Atletico Madrid,2014,FRA,17,41,16,4,0,0,0
Medhi Benatia,27,CB,DEF,25.2,AS Roma,Bayern Munich ,2014,MOR,77,37,5,0,0,0,0
Dejan Lovren,25,CB,DEF,22.77,Southampton,Liverpool,2014,CRO,18,31,2,1,0,0,0
Toni Kroos,24,CM,MID,22.5,Bayern Munich ,Real Madrid,2014,GER,2,42,3,6,0,0,0
Enzo Perez,28,CM,MID,22.5,Benfica,Valencia,2014,SPA,1,47,5,8,0,0,0
Lazar Markovic,20,RM,MID,22.5,Benfica,Liverpool,2014,SER,30,49,7,5,0,0,0
Juan Iturbe,21,RW,FWD,22.05,Hellas Verona,AS Roma,2014,PAR,50,33,8,5,0,0,0
Sadio Mane,22,LW,FWD,20.7,RB Salzburg,Southampton,2014,SEN,74,37,18,15,0,0,0
Mario Mandzukic,28,ST,FWD,19.8,Bayern Munich ,Atletico Madrid,2014,CRO,18,41,21,9,0,0,0
Calum Chambers,19,RB,DEF,18.21,Southampton,Arsenal,2014,ENG,10,26,0,0,0,0,0
Kevin De Bruyne,24,CAM,MID,68.4,VfL Wolfsburg,Man City,2015,BEL,2,51,16,28,0,0,0
Raheem Sterling,20,RW,FWD,57.33,Liverpool,Man City,2015,ENG,15,52,11,10,0,0,0
Angel Di Maria,27,RW,FWD,56.7,Man Utd,Paris SG,2015,ARG,3,33,4,12,0,0,0
Anthony Martial,19,LW,FWD,54,Monaco,Man Utd,2015,FRA,9,48,12,5,0,0,0
Alex Teixeira,26,CAM,MID,45,Shakhtar D.,JS Suning,2015,BRA,5,37,22,4,0,0,1
Christian Benteke,24,ST,FWD,41.85,Aston Villa,Liverpool,2015,BEL,2,34,15,3,0,0,0
Nicolas Otamendi,27,CB,DEF,40.14,Valencia,Man City,2015,ARG,3,38,6,0,0,0,0
Julian Draxler,21,CM,MID,38.7,FC Schalke 04,VfL Wolfsburg,2015,GER,1,19,2,2,0,0,0
Jackson Martinez,29,ST,FWD,37.8,Atletico Madrid,GZ Evergrande,2015,COL,4,42,32,7,0,0,1
Roberto Firmino,23,ST,FWD,36.9,TSG Hoffenheim,Liverpool,2015,BRA,5,36,10,12,0,0,0
Paulo Dybala,21,CAM,MID,36,US Palermo,Juventus,2015,ARG,3,35,13,10,0,0,0
Mateo Kovacic,21,CM,MID,34.2,Inter,Real Madrid,2015,CRO,18,44,8,5,0,0,0
Arturo Vidal,28,CDM,MID,33.75,Juventus,Bayern Munich ,2015,CHI,19,45,8,4,0,0,0
Jackson Martinez,28,ST,FWD,33.39,FC Porto,Atletico Madrid,2015,COL,4,42,32,7,0,0,0
Geoffrey Kondogbia,22,CM,MID,32.4,Monaco,Inter,2015,FRA,9,33,2,1,0,0,0
Morgan Schneiderlin,25,CDM,MID,31.5,Southampton,Man Utd,2015,FRA,9,30,5,1,0,0,0
Arda Turan,28,CM,MID,30.6,Atletico Madrid,FC Barcelona,2015,TUR,57,46,3,6,0,0,0
Memphis Depay,21,ST,FWD,30.6,PSV Eindhoven,Man Utd,2015,NED,6,40,28,8,0,0,0
Danilo,23,RM,DEF,28.35,FC Porto,Real Madrid,2015,BRA,5,41,7,5,0,0,0
Carlos Bacca,28,ST,FWD,27,Sevilla FC,AC Milan,2015,COL,4,56,28,10,0,0,0
Douglas Costa,24,LM,MID,27,Shakhtar D.,Bayern Munich ,2015,BRA,5,33,5,7,0,0,0
Rodrigo,24,RW,FWD,27,Benfica,Valencia,2015,SPA,10,32,4,5,0,0,0
Heung-min Son,23,LM,MID,27,Bay. Leverkusen,Spurs,2015,KOR,58,42,17,4,0,0,0
Ramires,28,CDM,MID,25.2,Chelsea,JS Suning,2015,BRA,5,34,4,4,0,0,1
Alvaro Negredo,29,ST,FWD,25.2,Man City,Valencia,2015,SPA,10,34,6,5,0,0,0
Paul Pogba,23,CM,MID,94.5,Juventus,Man Utd,2016,FRA,17,49,10,16,0,0,0
Gonzalo Higuain,28,ST,FWD,81,SSC Napoli,Juventus,2016,ARG,1,42,38,3,0,0,0
Oscar,25,CAM,MID,54,Chelsea,SIPG,2016,BRA,7,40,8,5,0,0,1
Hulk,29,RW,FWD,50.22,Zenit S-Pb,SIPG,2016,BRA,7,39,23,25,0,0,1
John Stones,22,CB,DEF,50.04,Everton,Man City,2016,ENG,11,41,0,0,0,0,0
Leroy Sane,20,LW,FWD,45.45,FC Schalke 04,Man City,2016,GER,4,42,9,7,0,0,0
Granit Xhaka,23,CDM,MID,40.5,Bor. M'gladbach,Arsenal,2016,SWI,15,36,3,2,0,0,0
Henrikh Mkhitaryan,27,RM,MID,37.8,Bor. Dortmund,Man Utd,2016,ARM,110,52,23,32,0,0,0
Sadio Mane,24,LW,FWD,37.08,Southampton,Liverpool,2016,SEN,41,43,15,9,0,0,0
Shkodran Mustafi,24,CB,DEF,36.9,Valencia,Arsenal,2016,GER,4,44,2,2,0,0,0
